map_a,map_b,bit_agreement,descriptor_nc,identity_permutation_logo_nc
H51-BOUL,H51-BOUP,0.61328125,0.6132812499999999,0.6625338315464466
H51-BOUL,H51-BRGA,0.91015625,0.9101562499999998,0.9258327891058185
H51-BOUL,H51-BRGL,0.9296875,0.9296874999999998,0.9421279329352287
H51-BOUL,H51-BRGP,0.609375,0.6093749999999999,0.6586011120296266
H51-BOUL,H51-CPTL,0.9296875,0.9296874999999998,0.9424301582476036
H51-BOUL,H51-HFCA,0.87890625,0.8789062499999998,0.8995830096824817
H51-BOUL,H51-HFCL,0.94921875,0.9492187499999998,0.9587301587301589
H51-BOUL,H51-HFCP,0.595703125,0.5957031249999999,0.6455065036862819
H51-BOUL,H51-HYDA,0.5234375,0.5234374999999999,0.5802074754667357
H51-BOUL,H51-HYDL,0.880859375,0.8808593749999998,0.9014644577457077
H51-BOUL,H51-HYDP,0.607421875,0.6074218749999999,0.6568770253489208
H51-BOUL,H51-LFCL,0.833984375,0.8339843749999998,0.8626221830852104
H51-BOUL,H51-LFCP,0.607421875,0.6074218749999999,0.6573712302616691
H51-BOUL,H51-LRDL,0.90234375,0.9023437499999998,0.9193697329864061
H51-BOUL,H51-LRRL,0.904296875,0.9042968749999998,0.9207878746497293
H51-BOUL,H51-RESA,0.8828125,0.8828124999999998,0.9027075674773933
H51-BOUL,H51-RESP,0.607421875,0.6074218749999999,0.6568770253489208
H51-BOUL,H51-RFCA,0.826171875,0.8261718749999998,0.8545578003665635
H51-BOUL,H51-RFCP,0.609375,0.6093749999999999,0.6586011120296266
H51-BOUL,H51-TERL,0.59765625,0.5976562499999999,0.6523484050401608
H51-BOUL,H51-TERP,0.609375,0.6093749999999999,0.6586011120296266
H51-BOUL,H51-VEGA,0.6953125,0.6953124999999999,0.7401909639255329
H51-BOUL,tianjin-latest-free.shp-gis_osm_buildings_a_free_1,0.73046875,0.7304687499999999,0.7722389856931152
H51-BOUL,tianjin-latest-free.shp-gis_osm_landuse_a_free_1,0.734375,0.7343749999999999,0.7761865106871647
H51-BOUL,tianjin-latest-free.shp-gis_osm_natural_free_1,0.609375,0.6093749999999999,0.6586011120296266
H51-BOUL,tianjin-latest-free.shp-gis_osm_places_a_free_1,0.736328125,0.7363281249999999,0.7772104813091654
H51-BOUL,tianjin-latest-free.shp-gis_osm_places_free_1,0.607421875,0.6074218749999999,0.6573712302616691
H51-BOUL,tianjin-latest-free.shp-gis_osm_pofw_a_free_1,0.740234375,0.7402343749999999,0.7805248117198654
H51-BOUL,tianjin-latest-free.shp-gis_osm_pofw_free_1,0.61328125,0.6132812499999999,0.6625338315464466
H51-BOUL,tianjin-latest-free.shp-gis_osm_pois_a_free_1,0.7265625,0.7265624999999999,0.7682733253465361
H51-BOUL,tianjin-latest-free.shp-gis_osm_pois_free_1,0.607421875,0.6074218749999999,0.6573712302616691
H51-BOUL,tianjin-latest-free.shp-gis_osm_railways_free_1,0.779296875,0.7792968749999998,0.8151923738621536
H51-BOUL,tianjin-latest-free.shp-gis_osm_roads_free_1,0.783203125,0.7832031249999998,0.8177206745238951
H51-BOUL,tianjin-latest-free.shp-gis_osm_traffic_a_free_1,0.736328125,0.7363281249999999,0.7772104813091654
H51-BOUL,tianjin-latest-free.shp-gis_osm_traffic_free_1,0.591796875,0.5917968749999999,0.6410076600216331
H51-BOUL,tianjin-latest-free.shp-gis_osm_transport_a_free_1,0.734375,0.7343749999999999,0.7752385563321692
H51-BOUL,tianjin-latest-free.shp-gis_osm_transport_free_1,0.60546875,0.6054687499999999,0.6551529386682149
H51-BOUL,tianjin-latest-free.shp-gis_osm_water_a_free_1,0.78515625,0.7851562499999998,0.8186396114429162
H51-BOUL,tianjin-latest-free.shp-gis_osm_waterways_free_1,0.904296875,0.9042968749999998,0.9207878746497293
H51-BOUP,H51-BRGA,0.65234375,0.6523437499999999,0.7007694879155333
H51-BOUP,H51-BRGL,0.6484375,0.6484374999999999,0.6947940899203691
H51-BOUP,H51-BRGP,0.984375,0.9843749999999998,0.9872826467470138
H51-BOUP,H51-CPTL,0.642578125,0.6425781249999999,0.6918633884230079
H51-BOUP,H51-HFCA,0.69140625,0.6914062499999999,0.73721497237438
H51-BOUP,H51-HFCL,0.654296875,0.6542968749999999,0.6999280363976131
H51-BOUP,H51-HFCP,0.96484375,0.9648437499999998,0.9711987435832479
H51-BOUP,H51-HYDA,0.21875,0.21874999999999994,0.2511071896495789
H51-BOUP,H51-HYDL,0.666015625,0.6660156249999999,0.7097954098256228
H51-BOUP,H51-HYDP,0.982421875,0.9824218749999998,0.9856928196185967
H51-BOUP,H51-LFCL,0.6875,0.6874999999999999,0.7282901630760418
H51-BOUP,H51-LFCP,0.978515625,0.9785156249999998,0.9824890588439189
H51-BOUP,H51-LRDL,0.63671875,0.6367187499999999,0.6818486929018635
H51-BOUP,H51-LRRL,0.5390625,0.5390624999999999,0.5898472402792772
H51-BOUP,H51-RESA,0.6796875,0.6796874999999999,0.726014533040538
H51-BOUP,H51-RESP,0.982421875,0.9824218749999998,0.9856928196185967
H51-BOUP,H51-RFCA,0.7265625,0.7265624999999999,0.7682733253465361
H51-BOUP,H51-RFCP,0.986328125,0.9863281249999998,0.988888888888889
